month,pos.meanSS,pos.sumSS,pos.numTweets,neg.meanSS,neg.sumSS,neg.numTweets,neu.meanSS,neu.sumSS,neu.numTweets,percent_pos,percent_neg,percent_neu,most_extreme_sentiment
1,0.8056483459545345,528.5053149461746,656,0.8182146855168209,1077.588740825653,1317,0.6774652140424741,409.18898928165436,604,0.25455956538610786,0.5110593713620489,0.23438106325184324,neg.meanSS
2,0.823815479968922,520.6513833403587,632,0.8217258618025689,954.8454514145851,1162,0.6835386532976497,462.75566828250885,677,0.25576689599352487,0.4702549575070821,0.27397814649939295,pos.meanSS
3,0.8160737903635246,782.6147649586201,959,0.8076729727075778,812.5190105438232,1006,0.6921818238673824,489.37254947423935,707,0.3589071856287425,0.37649700598802394,0.26459580838323354,pos.meanSS
4,0.8030589740635372,815.9079176485538,1016,0.7956380729809258,977.0435536205769,1228,0.6820567525668012,836.2015786468983,1226,0.29279538904899133,0.35389048991354466,0.35331412103746396,pos.meanSS
5,0.8303538562657239,829.5235024094582,999,0.8140973182497739,901.2057313024998,1107,0.6966669806422787,564.9969213008881,811,0.34247514569763454,0.37949948577305453,0.2780253685293109,pos.meanSS
6,0.808120637771054,733.773539096117,908,0.8143272878491259,1080.61231097579,1327,0.6989347464693563,575.2232963442802,823,0.2969260954872466,0.43394375408763897,0.26913015042511446,neg.meanSS
7,0.8248354388286656,578.2096426188946,701,0.8313962748762986,937.8149980604649,1128,0.694161276324042,503.2669253349304,725,0.27447141738449493,0.44166014095536416,0.28386844166014097,neg.meanSS
8,0.8319147093963388,674.6828293204308,811,0.8242733154524123,1020.4503645300865,1238,0.7092804657824245,574.5171772837639,810,0.2836656173487233,0.4330185379503323,0.2833158447009444,pos.meanSS
9,0.8320583367400621,562.471435636282,676,0.8332017165347863,865.6965834796429,1039,0.6949571547450354,457.9767649769783,659,0.2847514743049705,0.43765796124684075,0.2775905644481887,neg.meanSS
12,0.7761222384870052,6.208977907896042,8,0.824446439743042,3.297785758972168,4,0.6428299148877462,3.856979489326477,6,0.4444444444444444,0.2222222222222222,0.3333333333333333,neg.meanSS
